epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,498.276,0.36079,0.25375,0.88354,0.97432,0.97297,0.98791,0.93536,0.45106,0.28693,0.88751,0.0003566,0.0003566,0.0003566
85,503.581,0.36859,0.26528,0.8724,0.97432,0.97291,0.98727,0.93934,0.4465,0.28517,0.88396,0.0003368,0.0003368,0.0003368
86,509.879,0.35655,0.24666,0.85865,0.98447,0.96154,0.98677,0.92498,0.45999,0.28912,0.89539,0.000317,0.000317,0.000317
87,515.172,0.37311,0.26171,0.88961,0.98527,0.96154,0.99229,0.93646,0.44529,0.2719,0.88933,0.0002972,0.0002972,0.0002972
88,522.013,0.36643,0.26106,0.88913,0.98655,0.96154,0.99304,0.9365,0.44402,0.26857,0.88547,0.0002774,0.0002774,0.0002774
89,527.48,0.36523,0.25541,0.87959,0.98548,0.96154,0.99338,0.93609,0.45679,0.26857,0.89148,0.0002576,0.0002576,0.0002576
90,533.939,0.34209,0.24477,0.88605,0.96243,0.98534,0.9935,0.94097,0.45225,0.26892,0.88737,0.0002378,0.0002378,0.0002378
91,546.111,0.30789,0.23294,0.83103,0.96283,0.99636,0.99363,0.94046,0.4491,0.2715,0.88097,0.000218,0.000218,0.000218
92,551.613,0.3112,0.23007,0.84656,0.95717,1,0.99374,0.94201,0.46055,0.26489,0.88598,0.0001982,0.0001982,0.0001982
93,558.573,0.30583,0.22549,0.83767,1,0.95803,0.99413,0.94324,0.46682,0.26515,0.89197,0.0001784,0.0001784,0.0001784
94,563.552,0.29719,0.21172,0.82762,0.97464,0.9854,0.99399,0.94164,0.46333,0.26123,0.89338,0.0001586,0.0001586,0.0001586
95,569.498,0.31598,0.21861,0.84668,0.98716,0.98551,0.99412,0.9405,0.46564,0.26195,0.89421,0.0001388,0.0001388,0.0001388
96,575.676,0.31891,0.23338,0.85061,0.98715,0.98514,0.99412,0.93912,0.47713,0.26292,0.89838,0.000119,0.000119,0.000119
97,580.865,0.30886,0.22162,0.83821,0.98591,0.97436,0.99399,0.93911,0.47874,0.26095,0.89967,9.92e-05,9.92e-05,9.92e-05
98,586.712,0.30289,0.2172,0.84328,0.98701,0.97405,0.99399,0.93806,0.46911,0.26214,0.89563,7.94e-05,7.94e-05,7.94e-05
99,592.214,0.30862,0.22388,0.84562,0.987,0.97331,0.99387,0.93892,0.46253,0.26177,0.8932,5.96e-05,5.96e-05,5.96e-05
100,598.586,0.28887,0.20438,0.82989,0.987,0.9734,0.99387,0.93932,0.46004,0.26546,0.89343,3.98e-05,3.98e-05,3.98e-05
